rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
19,Japan,JPN,1605.2,1595.96,9.24,AFC,2023-09-21
21,IR Iran,IRN,1561.26,1556.59,4.67,AFC,2023-09-21
26,Korea Republic,KOR,1533.01,1529.3,3.71,AFC,2023-09-21
27,Australia,AUS,1531.72,1530.45,1.27,AFC,2023-09-21
57,Saudi Arabia,KSA,1412.82,1421.46,-8.64,AFC,2023-09-21
61,Qatar,QAT,1395.57,1395.57,0.00,AFC,2023-09-21
69,Iraq,IRQ,1347.38,1345.21,2.17,AFC,2023-09-21
70,United Arab Emirates,UAE,1342.43,1336.28,6.15,AFC,2023-09-21
73,Oman,OMA,1334.37,1332.45,1.92,AFC,2023-09-21
75,Uzbekistan,UZB,1328.35,1327.58,0.77,AFC,2023-09-21
80,China PR,CHN,1297.25,1304.78,-7.53,AFC,2023-09-21
84,Jordan,JOR,1286.36,1296.26,-9.90,AFC,2023-09-21
86,Bahrain,BHR,1273.54,1282.05,-8.51,AFC,2023-09-21
93,Syria,SYR,1245.81,1241.62,4.19,AFC,2023-09-21
95,Vietnam,VIE,1243.14,1238.23,4.91,AFC,2023-09-21
96,Kyrgyz Republic,KGZ,1228.6,1224.8,3.80,AFC,2023-09-21
97,Palestine,PLE,1224.05,1233.02,-8.97,AFC,2023-09-21
101,Lebanon,LBN,1205.56,1205.77,-0.21,AFC,2023-09-21
102,India,IND,1204.88,1208.69,-3.81,AFC,2023-09-21
110,Tajikistan,TJK,1183.01,1179.54,3.47,AFC,2023-09-21
112,Thailand,THA,1181.21,1174.37,6.84,AFC,2023-09-21
116,Korea DPR,PRK,1169.96,1169.96,0.00,AFC,2023-09-21
132,Philippines,PHI,1099.29,1095.66,3.63,AFC,2023-09-21
134,Malaysia,MAS,1094.9,1091.57,3.33,AFC,2023-09-21
135,Kuwait,KUW,1093.38,1090.42,2.96,AFC,2023-09-21
140,Turkmenistan,TKM,1086.12,1089.77,-3.65,AFC,2023-09-21
147,Indonesia,IDN,1052.87,1047.46,5.41,AFC,2023-09-21
148,"Hong Kong, China",HKG,1052.26,1049.74,2.52,AFC,2023-09-21
154,Chinese Taipei,TPE,1023.66,1028.18,-4.52,AFC,2023-09-21
155,Maldives,MDV,1021.85,1021.85,0.00,AFC,2023-09-21
156,Yemen,YEM,1020.37,1020.37,0.00,AFC,2023-09-21
157,Singapore,SGP,1016.47,1014.78,1.69,AFC,2023-09-21
158,Afghanistan,AFG,1014.25,1020.32,-6.07,AFC,2023-09-21
161,Myanmar,MYA,1004.46,1000.26,4.20,AFC,2023-09-21
175,Nepal,NEP,953.85,958.05,-4.20,AFC,2023-09-21
177,Cambodia,CAM,948.64,942.97,5.67,AFC,2023-09-21
183,Mongolia,MNG,908.71,908.71,0.00,AFC,2023-09-21
184,Bhutan,BHU,905.78,900.65,5.13,AFC,2023-09-21
185,Macau,MAC,903.89,913.68,-9.79,AFC,2023-09-21
186,Laos,LAO,899.58,899.58,0.00,AFC,2023-09-21
189,Bangladesh,BAN,894.23,892.44,1.79,AFC,2023-09-21
191,Brunei Darussalam,BRU,887.58,891.12,-3.54,AFC,2023-09-21
192,Timor-Leste,TLS,860.45,860.45,0.00,AFC,2023-09-21
197,Pakistan,PAK,847.67,847.67,0.00,AFC,2023-09-21
201,Guam,GUM,838.33,838.33,0.00,AFC,2023-09-21
202,Sri Lanka,SRI,825.25,825.25,0.00,AFC,2023-09-21
13,Morocco,MAR,1658.32,1655.5,2.82,CAF,2023-09-21
20,Senegal,SEN,1597.01,1612.61,-15.60,CAF,2023-09-21
29,Tunisia,TUN,1525.23,1516.66,8.57,CAF,2023-09-21
34,Algeria,ALG,1509.5,1511.23,-1.73,CAF,2023-09-21
