date,home_score,away_score,tournament,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,win_score_5last_enc_home,win_score_5last_enc_away,diff_goals_last_enc,avg_goals_last_five_home,avg_goals_last_five_away,win_rate_tournament_home,win_rate_tournament_away
1996-01-03,2,1,0,0,134.0,11.0,-11.0,163.0,3.0,4.0,0,0,0,0,1.0,0.0,0.0,0.0
1996-01-03,3,1,0,0,38.0,41.0,1.0,22.0,48.0,0.0,0,0,5,0,1.0,1.8,0.6,0.8
1996-01-05,1,1,0,0,54.0,37.0,12.0,29.0,47.0,2.0,1,0,0,0,1.4,1.0,0.4,0.6
1996-01-05,0,0,0,0,57.0,37.0,2.0,127.0,12.0,4.0,0,0,0,0,2.2,1.0,0.6,0.0
1996-01-06,2,1,0,0,58.0,36.0,-10.0,87.0,24.0,3.0,0,5,0,1,1.2,0.6,0.8,0.2
1996-01-07,0,0,0,0,57.0,37.0,2.0,127.0,12.0,4.0,0,5,0,0,2.2,0.8,0.8,0.0
1996-01-07,1,2,0,0,59.0,36.0,-2.0,67.0,32.0,2.0,1,0,0,0,0.8,1.8,0.0,0.6
1996-01-08,2,1,0,0,23.0,48.0,0.0,22.0,48.0,0.0,0,12,0,1,2.4,1.6,0.6,0.6
1996-01-09,1,1,0,0,59.0,36.0,-2.0,29.0,47.0,2.0,1,0,0,0,0.8,1.2,0.0,0.8
1996-01-10,3,1,0,1,65.0,32.0,2.0,49.0,38.0,-20.0,0,9,0,2,1.4,1.6,0.4,0.0
1996-01-10,2,3,0,1,57.0,37.0,2.0,82.0,26.0,-22.0,1,0,0,0,2.0,0.8,0.8,0.2
1996-01-11,5,0,0,1,12.0,55.0,-1.0,95.0,22.0,4.0,0,0,0,0,1.2,1.6,0.6,0.2
1996-01-11,1,0,0,0,76.0,28.0,-2.0,67.0,32.0,2.0,0,0,5,0,1.4,2.2,0.6,0.8
1996-01-12,4,1,0,1,1.0,68.0,0.0,65.0,32.0,2.0,0,0,5,0,2.4,1.8,1.0,0.6
1996-01-13,3,0,3,0,40.0,41.0,-19.0,37.0,42.0,-6.0,0,0,5,0,1.8,0.8,0.0,0.0
1996-01-13,3,2,0,0,19.0,51.0,0.0,57.0,37.0,2.0,0,5,0,-1,1.0,2.4,0.6,0.8
1996-01-14,0,1,0,1,145.0,9.0,-18.0,12.0,55.0,-1.0,1,0,0,0,0.5,2.2,0.0,0.6
1996-01-14,0,5,0,1,49.0,38.0,-20.0,1.0,68.0,0.0,1,4,5,0,1.8,2.2,0.0,1.0
1996-01-14,0,2,3,1,20.0,49.0,-8.0,29.0,47.0,2.0,1,3,9,2,1.2,1.2,0.6,0.6666666666666666
1996-01-14,1,1,0,0,56.0,37.0,5.0,96.0,21.0,3.0,0,5,4,-1,2.0,3.2,0.6,0.6666666666666666
1996-01-14,0,0,3,1,25.0,48.0,-9.0,48.0,38.0,1.0,0,0,0,0,2.0,1.0,0.8,0.0
1996-01-15,2,1,3,1,23.0,48.0,0.0,80.0,27.0,1.0,0,0,5,0,1.6,2.2,0.3333333333333333,0.0
1996-01-15,2,1,3,1,58.0,36.0,-10.0,101.0,19.0,0.0,0,0,0,0,1.2,1.0,0.0,0.0
1996-01-16,1,2,3,1,67.0,32.0,2.0,87.0,24.0,3.0,1,0,0,0,1.8,0.6,0.0,0.0
1996-01-16,3,0,0,1,145.0,9.0,-18.0,95.0,22.0,4.0,0,0,0,0,0.4,0.6,0.0,0.2
1996-01-16,1,0,0,0,134.0,11.0,-11.0,73.0,30.0,3.0,0,0,0,0,1.5,0.4,0.5,0.2
1996-01-16,1,1,3,1,22.0,48.0,0.0,76.0,28.0,-2.0,0,0,0,0,1.4,1.6,0.5,0.0
